1.59 74 0.47 0.54 72 532
1.81 24 0.48 0.36 23 291
1.76 32 0.43 0.44 31 297
1.60 72 0.42.0.36 67 477
1.59 67 0.62 0.61 65 587
1.73 37 0.56 0.43 36 450
