  1.69  .252539285 -10.3583023
  1.7  .254033601 -10.1995401
  1.71  .255527916 -10.0387052
  1.72  .257022231 -9.87580292
  1.73  .258516547 -9.71083845
  1.74  .260010862 -9.54381705
  1.75  .261505177 -9.37474396
  1.76  .262999493 -9.20362442
  1.77  .264493808 -9.03046368
  1.78  .265988123 -8.85526699
  1.79  .267482438 -8.67803961
  1.8  .268976754 -8.49878679
  1.81  .270471069 -8.31751381
  1.82  .271965384 -8.13422593
  1.83  .2734597 -7.94892843
  1.84  .274954015 -7.76162661
  1.85  .27644833 -7.57232575
  1.86  .277942646 -7.38103115
  1.87  .279436961 -7.18774813
  1.88  .280931276 -6.99248201
  1.89  .282425591 -6.79523813
  1.9  .283919907 -6.5960218
  1.91  .285414222 -6.3948384
  1.92  .286908537 -6.19169328
  1.93  .288402853 -5.9865918
  1.94  .289897168 -5.77953936
  1.95  .291391483 -5.57054135
  1.96  .292885799 -5.35960316
  1.97  .294380114 -5.14673023
  1.98  .295874429 -4.93192797
  1.99  .297368744 -4.71520183
  2.  .29886306 -4.49655726
  2.01  .300357375 -4.27599972
  2.02  .30185169 -4.0535347
  2.03  .303346006 -3.82916768
  2.04  .304840321 -3.60290417
  2.05  .306334636 -3.37474968
  2.06  .307828951 -3.14470974
  2.07  .309323267 -2.91278989
  2.08  .310817582 -2.67899569
  2.09  .312311897 -2.44333269
  2.1  .313806213 -2.20580649
  2.11  .315300528 -1.96642266
  2.12  .316794843 -1.72518682
  2.13  .318289159 -1.48210459
  2.14  .319783474 -1.23718158
  2.15  .321277789 -.990423451
  2.16  .322772104 -.741835847
  2.17  .32426642 -.491424436
  2.18  .325760735 -.239194898
  2.19  .32725505  .0148470772
  2.2  .328749366  .270695787
  2.21  .330243681  .528345516
  2.22  .331737996  .78779054
  2.23  .333232312  1.04902512
  2.24  .334726627  1.31204351
  2.25  .336220942  1.57683994
  2.26  .337715257  1.84340866
  2.27  .339209573  2.11174386
  2.28  .340703888  2.38183977
  2.29  .342198203  2.65369058
  2.3  .343692519  2.92729048
  2.31  .345186834  3.20263364
  2.32  .346681149  3.47971424
  2.33  .348175465  3.75852642
  2.34  .34966978  4.03906434
  2.35  .351164095  4.32132213
  2.36  .35265841  4.60529393
  2.37  .354152726  4.89097387
  2.38  .355647041  5.17835604
  2.39  .357141356  5.46743456
  2.4  .358635672  5.75820352
  2.41  .360129987  6.05065702
  2.42  .361624302  6.34478913
  2.43  .363118618  6.64059393
  2.44  .364612933  6.93806549
  2.45  .366107248  7.23719788
  2.46  .367601563  7.53798513
  2.47  .369095879  7.84042132
  2.48  .370590194  8.14450047
  2.49  .372084509  8.45021663
  2.5  .373578825  8.75756382
  2.51  .37507314  9.06653609
  2.52  .376567455  9.37712744
  2.53  .378061771  9.6893319
  2.54  .379556086  10.0031435
  2.55  .381050401  10.3185562
  2.56  .382544716  10.6355641
  2.57  .384039032  10.9541611
  2.58  .385533347  11.2743412
  2.59  .387027662  11.5960985
  2.6  .388521978  11.9194269
  2.61  .390016293  12.2443205
  2.62  .391510608  12.5707732
  2.63  .393004924  12.898779
  2.64  .394499239  13.2283319
  2.65  .395993554  13.5594259
  2.66  .397487869  13.892055
  2.67  .398982185  14.2262132
  2.68  .4004765  14.5618944
  2.69  .401970815  14.8990927
  2.7  .403465131  15.2378019
  2.71  .404959446  15.5780163
  2.72  .406453761  15.9197296
  2.73  .407948076  16.2629359
  2.74  .409442392  16.6076292
  2.75  .410936707  16.9538035
  2.76  .412431022  17.3014528
  2.77  .413925338  17.650571
  2.78  .415419653  18.0011523
  2.79  .416913968  18.3531905
  2.8  .418408284  18.7066797
  2.81  .419902599  19.0616139
  2.82  .421396914  19.4179872
  2.83  .422891229  19.7757935
  2.84  .424385545  20.1350268
  2.85  .42587986  20.4956812
  2.86  .427374175  20.8577508
  2.87  .428868491  21.2212295
  2.88  .430362806  21.5861115
  2.89  .431857121  21.9523906
  2.9  .433351437  22.3200611
  2.91  .434845752  22.689117
  2.92  .436340067  23.0595522
  2.93  .437834382  23.431361
  2.94  .439328698  23.8045374
  2.95  .440823013  24.1790754
  2.96  .442317328  24.5549692
  2.97  .443811644  24.9322129
  2.98  .445305959  25.3108005
  2.99  .446800274  25.6907263
  3.  .44829459  26.0719842
  3.01  .449788905  26.4545685
  3.02  .45128322  26.8384733
  3.03  .452777535  27.2236928
  3.04  .454271851  27.610221
  3.05  .455766166  27.9980522
  3.06  .457260481  28.3871806
  3.07  .458754797  28.7776003
  3.08  .460249112  29.1693055
  3.09  .461743427  29.5622905
  3.1  .463237743  29.9565495
  3.11  .464732058  30.3520766
  3.12  .466226373  30.7488662
  3.13  .467720688  31.1469124
  3.14  .469215004  31.5462096
  3.15  .470709319  31.946752
  3.16  .472203634  32.3485339
  3.17  .47369795  32.7515496
  3.18  .475192265  33.1557934
  3.19  .47668658  33.5612596
  3.2  .478180896  33.9679426
  3.21  .479675211  34.3758366
  3.22  .481169526  34.7849361
  3.23  .482663841  35.1952354
  3.24  .484158157  35.6067289
  3.25  .485652472  36.019411
  3.26  .487146787  36.433276
  3.27  .488641103  36.8483185
  3.28  .490135418  37.2645328
  3.29  .491629733  37.6819134
  3.3  .493124049  38.1004547
  3.31  .494618364  38.5201512
  3.32  .496112679  38.9409975
  3.33  .497606994  39.3629879
  3.34  .49910131  39.7861171
  3.35  .500595625  40.2103795
  3.36  .50208994  40.6357697
  3.37  .503584256  41.0622822
  3.38  .505078571  41.4899116
  3.39  .506572886  41.9186526
  3.4  .508067201  42.3484996
  3.41  .509561517  42.7794474
  3.42  .511055832  43.2114905
  3.43  .512550147  43.6446236
  3.44  .514044463  44.0788414
  3.45  .515538778  44.5141385
  3.46  .517033093  44.9505096
  3.47  .518527409  45.3879494
  3.48  .520021724  45.8264527
  3.49  .521516039  46.2660142
  3.5  .523010354  46.7066286
  3.51  .52450467  47.1482908
  3.52  .525998985  47.5909954
  3.53  .5274933  48.0347373
  3.54  .528987616  48.4795114
  3.55  .530481931  48.9253124
  3.56  .531976246  49.3721352
  3.57  .533470562  49.8199746
  3.58  .534964877  50.2688256
  3.59  .536459192  50.7186831
  3.6  .537953507  51.1695419
  3.61  .539447823  51.621397
  3.62  .540942138  52.0742434
  3.63  .542436453  52.5280759
  3.64  .543930769  52.9828897
  3.65  .545425084  53.4386796
  3.66  .546919399  53.8954408
  3.67  .548413715  54.3531681
  3.68  .54990803  54.8118568
  3.69  .551402345  55.2715018
  3.7  .55289666  55.7320982
  3.71  .554390976  56.1936411
  3.72  .555885291  56.6561257
  3.73  .557379606  57.1195471
  3.74  .558873922  57.5839004
  3.75  .560368237  58.0491808
  3.76  .561862552  58.5153835
  3.77  .563356868  58.9825036
  3.78  .564851183  59.4505365
  3.79  .566345498  59.9194773
  3.8  .567839813  60.3893213
  3.81  .569334129  60.8600638
  3.82  .570828444  61.3317
  3.83  .572322759  61.8042253
  3.84  .573817075  62.2776349
  3.85  .57531139  62.7519243
  3.86  .576805705  63.2270888
  3.87  .578300021  63.7031237
  3.88  .579794336  64.1800245
  3.89  .581288651  64.6577865
  3.9  .582782966  65.1364052
  3.91  .584277282  65.6158761
  3.92  .585771597  66.0961945
  3.93  .587265912  66.577356
  3.94  .588760228  67.0593561
  3.95  .590254543  67.5421903
  3.96  .591748858  68.0258541
  3.97  .593243174  68.510343
  3.98  .594737489  68.9956527
  3.99  .596231804  69.4817787
  4.  .597726119  69.9687167
  4.01  .599220435  70.4564622
  4.02  .60071475  70.9450108
  4.03  .602209065  71.4343583
  4.04  .603703381  71.9245003
  4.05  .605197696  72.4154325
  4.06  .606692011  72.9071506
  4.07  .608186326  73.3996503
  4.08  .609680642  73.8929274
  4.09  .611174957  74.3869775
  4.1  .612669272  74.8817966
  4.11  .614163588  75.3773804
  4.12  .615657903  75.8737247
  4.13  .617152218  76.3708253
