  1.69  .252539285 -9.98728424
  1.7  .254033601 -9.81503738
  1.71  .255527916 -9.64052947
  1.72  .257022231 -9.46376635
  1.73  .258516547 -9.28475399
  1.74  .260010862 -9.10349841
  1.75  .261505177 -8.92000577
  1.76  .262999493 -8.73428228
  1.77  .264493808 -8.54633426
  1.78  .265988123 -8.35616813
  1.79  .267482438 -8.16379039
  1.8  .268976754 -7.96920764
  1.81  .270471069 -7.77242657
  1.82  .271965384 -7.57345397
  1.83  .2734597 -7.37229671
  1.84  .274954015 -7.16896175
  1.85  .27644833 -6.96345617
  1.86  .277942646 -6.75578711
  1.87  .279436961 -6.54596181
  1.88  .280931276 -6.33398761
  1.89  .282425591 -6.11987192
  1.9  .283919907 -5.90362227
  1.91  .285414222 -5.68524624
  1.92  .286908537 -5.46475153
  1.93  .288402853 -5.24214591
  1.94  .289897168 -5.01743723
  1.95  .291391483 -4.79063343
  1.96  .292885799 -4.56174255
  1.97  .294380114 -4.33077269
  1.98  .295874429 -4.09773204
  1.99  .297368744 -3.86262886
  2.  .29886306 -3.6254715
  2.01  .300357375 -3.38626839
  2.02  .30185169 -3.14502802
  2.03  .303346006 -2.90175898
  2.04  .304840321 -2.6564699
  2.05  .306334636 -2.40916951
  2.06  .307828951 -2.15986659
  2.07  .309323267 -1.90857001
  2.08  .310817582 -1.65528868
  2.09  .312311897 -1.40003161
  2.1  .313806213 -1.14280784
  2.11  .315300528 -.883626504
  2.12  .316794843 -.622496768
  2.13  .318289159 -.359427876
  2.14  .319783474 -.0944291251
  2.15  .321277789  .172490131
  2.16  .322772104  .441320484
  2.17  .32426642  .712052473
  2.18  .325760735  .984676585
  2.19  .32725505  1.25918326
  2.2  .328749366  1.53556288
  2.21  .330243681  1.8138058
  2.22  .331737996  2.0939023
  2.23  .333232312  2.37584266
  2.24  .334726627  2.65961707
  2.25  .336220942  2.94521572
  2.26  .337715257  3.23262873
  2.27  .339209573  3.52184621
  2.28  .340703888  3.81285823
  2.29  .342198203  4.10565481
  2.3  .343692519  4.40022595
  2.31  .345186834  4.69656163
  2.32  .346681149  4.99465178
  2.33  .348175465  5.29448632
  2.34  .34966978  5.59605515
  2.35  .351164095  5.89934811
  2.36  .35265841  6.20435507
  2.37  .354152726  6.51106584
  2.38  .355647041  6.81947023
  2.39  .357141356  7.12955803
  2.4  .358635672  7.44131902
  2.41  .360129987  7.75474294
  2.42  .361624302  8.06981954
  2.43  .363118618  8.38653857
  2.44  .364612933  8.70488974
  2.45  .366107248  9.02486278
  2.46  .367601563  9.34644738
  2.47  .369095879  9.66963326
  2.48  .370590194  9.99441012
  2.49  .372084509  10.3207677
  2.5  .373578825  10.6486956
  2.51  .37507314  10.9781835
  2.52  .376567455  11.3092213
  2.53  .378061771  11.6417985
  2.54  .379556086  11.9759049
  2.55  .381050401  12.3115301
  2.56  .382544716  12.648664
  2.57  .384039032  12.9872961
  2.58  .385533347  13.3274164
  2.59  .387027662  13.6690144
  2.6  .388521978  14.01208
  2.61  .390016293  14.3566029
  2.62  .391510608  14.7025729
  2.63  .393004924  15.0499798
  2.64  .394499239  15.3988133
  2.65  .395993554  15.7490635
  2.66  .397487869  16.1007199
  2.67  .398982185  16.4537727
  2.68  .4004765  16.8082115
  2.69  .401970815  17.1640264
  2.7  .403465131  17.5212072
  2.71  .404959446  17.8797439
  2.72  .406453761  18.2396264
  2.73  .407948076  18.6008448
  2.74  .409442392  18.9633891
  2.75  .410936707  19.3272493
  2.76  .412431022  19.6924155
  2.77  .413925338  20.0588778
  2.78  .415419653  20.4266264
  2.79  .416913968  20.7956513
  2.8  .418408284  21.1659427
  2.81  .419902599  21.537491
  2.82  .421396914  21.9102863
