  1.  .496880657  1.17508261  4.15060343  8.21315676 -3.11108542
  1.5  .509545201  1.2164931  3.71026398  7.43227616 -2.71162383
  1.82  .517748595  1.23097524  3.42835073  6.92664494 -2.45784289
  2.  .522494388  1.23439513  3.27282596  6.64586714 -2.3182453
  2.5  .536567622  1.22335613  2.85554484  5.88633609 -1.94384411
